season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2023,NBA,Atlanta Hawks,ATL,1,24.9,41.0,41.0,42.0,40.0,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,54.1,11.2,25.1,20.0,0.552,12.4,75.8,0.206,State Farm Arena,719787.0,17556.0
2023,NBA,Boston Celtics,BOS,1,27.4,57.0,25.0,57.0,25.0,6.52,-0.15,6.38,118.0,111.5,6.5,98.5,0.243,0.48,0.6,56.599999999999994,12.0,22.1,19.7,0.528,11.3,78.5,0.18,TD Garden,785396.0,19156.0
2023,NBA,Brooklyn Nets,BRK,1,28.0,45.0,37.0,43.0,39.0,0.85,0.18,1.03,115.0,114.1,0.9,98.3,0.26,0.397,0.598,56.2,12.7,19.6,20.8,0.53,12.2,73.7,0.212,Barclays Center,724439.0,17669.0
2023,NBA,Chicago Bulls,CHI,0,27.5,40.0,42.0,44.0,38.0,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,55.00000000000001,12.2,20.1,20.3,0.544,13.5,77.8,0.197,United Center,841632.0,20528.0
2023,NBA,Charlotte Hornets,CHO,0,25.3,27.0,55.0,26.0,56.0,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,51.6,12.3,23.8,19.5,0.544,12.5,75.5,0.211,Spectrum Center,702052.0,17123.0
2023,NBA,Cleveland Cavaliers,CLE,1,25.4,51.0,31.0,55.0,27.0,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,55.60000000000001,12.3,23.6,20.599999999999998,0.535,14.4,76.3,0.21,Rocket Mortgage Fieldhouse,777280.0,18958.0
2023,NBA,Dallas Mavericks,DAL,0,27.8,38.0,44.0,41.0,41.0,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,56.49999999999999,11.4,18.0,22.5,0.549,11.9,75.5,0.226,American Airlines Center,827282.0,20178.0
2023,NBA,Denver Nuggets,DEN,1,26.6,53.0,29.0,49.0,33.0,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,57.3,13.1,24.8,19.400000000000002,0.543,12.2,76.4,0.201,Ball Arena,788635.0,19235.0
2023,NBA,Detroit Pistons,DET,0,24.1,17.0,65.0,22.0,60.0,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,52.0,13.3,24.9,22.7,0.557,11.9,74.0,0.231,Little Caesars Arena,759715.0,18596.0
2023,NBA,Golden State Warriors,GSW,1,27.3,44.0,38.0,45.0,37.0,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,57.099999999999994,14.1,24.4,17.8,0.54,12.3,76.0,0.214,Chase Center,740624.0,18064.0
2023,NBA,Houston Rockets,HOU,0,22.1,22.0,60.0,23.0,59.0,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,51.6,14.0,30.2,21.5,0.564,11.8,75.8,0.218,Toyota Center,668865.0,16314.0
2023,NBA,Indiana Pacers,IND,0,24.5,35.0,47.0,33.0,49.0,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,54.50000000000001,13.0,23.4,20.9,0.554,13.0,72.2,0.229,Gainbridge Fieldhouse,641562.0,15648.0
2023,NBA,Los Angeles Clippers,LAC,1,29.7,44.0,38.0,42.0,40.0,0.5,-0.19,0.31,115.0,114.5,0.5,98.0,0.278,0.387,0.588,55.1,12.8,22.9,21.7,0.543,11.7,76.6,0.195,Crypto.com Arena,720543.0,17574.0
2023,NBA,Los Angeles Lakers,LAL,1,27.9,43.0,39.0,42.0,40.0,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,54.2,12.3,22.8,23.200000000000003,0.535,10.9,76.3,0.171,Crypto.com Arena,763168.0,18614.0
2023,NBA,Memphis Grizzlies,MEM,1,24.4,51.0,31.0,51.0,31.0,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,54.0,11.7,26.5,19.0,0.526,13.1,75.9,0.206,FedEx Forum,707836.0,17264.0
